timestamp	flag	time	path	script
integ_20091222.0527.357900663.log	END	0	/di/admin/programs	../programs/210_user_info.int -D DI_Admin=.. -D DATAROOT=/di_solution/dl-dataroot
integ_20091222.0527.373101401.log	START	0	/di/admin/programs	../programs/215_user_count_sum.int -D DI_Admin=.. -D Srvrname=DI
integ_20091222.0527.373101401.log	END	0	/di/admin/programs	../programs/215_user_count_sum.int -D DI_Admin=.. -D Srvrname=DI
integ_20091222.0527.398561077.log	START	0	/di/admin/programs	../programs/310_get_current_yearmonth.int -D DATAROOT=/di_solution/dl-dataroot -D DI_Admin=.. -D Logs_Directory=/di_solution/dl-dataroot/logs
integ_20091222.0527.398561077.log	END	0	/di/admin/programs	../programs/310_get_current_yearmonth.int -D DATAROOT=/di_solution/dl-dataroot -D DI_Admin=.. -D Logs_Directory=/di_solution/dl-dataroot/logs
integ_20091222.0527.409779006.log	START	0	/di/admin/programs	../programs/320_events_get_userlist.int -D DI_Admin=.. -D Logs_Directory=/di_solution/dl-dataroot/logs -D Period=0
integ_20091222.0527.409779006.log	END	2	/di/admin/programs	../programs/320_events_get_userlist.int -D DI_Admin=.. -D Logs_Directory=/di_solution/dl-dataroot/logs -D Period=0
integ_20091222.0527.869082460.log	START	0	/di/admin/programs	../programs/330_users_get_user_type.int -D Period=0 -D DATAROOT=/di_solution/dl-dataroot -D DI_Admin=.. -D Logs_Directory=/di_solution/dl-dataroot/logs
integ_20091222.0527.869082460.log	END	0	/di/admin/programs	../programs/330_users_get_user_type.int -D Period=0 -D DATAROOT=/di_solution/dl-dataroot -D DI_Admin=.. -D Logs_Directory=/di_solution/dl-dataroot/logs
integ_20091222.0527.894052619.log	START	0	/di/admin/programs	../programs/405_acl-file_delete.int -D Output-File=../temp/420_acl-list.txt
integ_20091222.0527.894052619.log	END	0	/di/admin/programs	../programs/405_acl-file_delete.int -D Output-File=../temp/420_acl-list.txt
